fid;DN;Longitud;Latitud
1368;3;-5.84;43.23
1370;4;-5.77;43.23
1372;4;-5.64;43.23
1374;4;-5.27;43.23
1375;7;-5.16;43.23
1376;7;-5.12;43.23
1377;7;-4.82;43.23
1378;7;-4.76;43.23
1380;7;-4.74;43.23
1381;12;-4.67;43.24
1382;11;-4.66;43.23
1383;9;-4.60;43.23
1384;4;-4.53;43.23
1385;7;-4.51;43.23
1386;3;-4.47;43.23
1390;4;-3.68;43.23
1391;9;-3.67;43.23
1392;8;-3.61;43.23
1393;12;-3.59;43.24
1394;14;-3.51;43.23
1395;9;-3.49;43.23
1396;4;-3.48;43.23
1397;4;-3.27;43.23
1399;4;-2.38;43.23
1401;10;-2.05;43.23
1402;5;-1.94;43.23
1403;5;-1.86;43.23
1404;7;-1.77;43.23
1405;2;-1.76;43.23
1406;2;-1.65;43.23
1408;7;-1.51;43.23
1409;7;-1.42;43.23
1410;3;-1.40;43.23
1411;5;-2.61;43.25
1412;7;-5.19;43.24
1413;11;-3.78;43.24
1414;4;-7.02;43.23
1415;2;-6.04;43.24
1417;9;-4.83;43.24
1418;8;-4.70;43.23
1420;4;-2.72;43.23
1421;3;-1.45;43.24
1422;4;-7.08;43.23
1424;4;-6.47;43.23
1425;7;-5.45;43.23
1426;7;-5.38;43.23
1427;3;-5.31;43.23
1428;4;-5.03;43.24
1429;8;-4.90;43.24
1433;4;-3.46;43.23
1434;9;-2.59;43.23
1435;4;-2.26;43.23
1436;2;-1.84;43.23
1439;7;-1.47;43.24
1441;9;-7.66;43.23
1442;8;-6.96;43.23
1443;5;-6.89;43.23
1444;9;-6.88;43.23
1445;5;-6.79;43.23
1446;7;-6.37;43.23
1447;3;-6.35;43.23
1448;6;-6.26;43.23
1450;2;-6.06;43.23
1451;6;-6.02;43.23
1452;4;-6.01;43.23
1455;4;-5.82;43.24
1457;4;-5.55;43.23
1458;4;-5.48;43.23
1459;3;-5.39;43.23
1462;4;-4.98;43.23
1464;8;-4.88;43.23
1465;8;-4.85;43.23
1466;3;-4.82;43.23
1467;3;-4.77;43.23
1468;11;-4.67;43.23
1469;14;-4.66;43.23
1470;9;-4.64;43.23
1471;14;-4.62;43.23
1472;9;-4.57;43.23
1473;4;-4.55;43.23
1474;5;-4.54;43.23
1475;7;-4.53;43.23
1477;4;-4.23;43.23
1478;4;-4.17;43.23
1479;4;-3.69;43.35
1481;5;-3.97;43.23
1482;11;-3.74;43.23
1483;6;-3.71;43.23
1484;4;-3.70;43.23
1485;7;-3.64;43.23
1486;11;-3.60;43.23
1487;2;-3.47;43.23
1489;2;-3.26;43.23
1490;4;-3.13;43.23
1492;4;-2.43;43.23
1493;4;-2.31;43.23
1494;2;-2.20;43.23
1495;10;-2.02;43.23
1497;2;-1.75;43.23
1499;3;-1.48;43.23
1500;7;-1.39;43.24
1502;4;-3.72;43.23
1503;8;-6.76;43.23
1504;5;-5.12;43.24
1505;4;-5.21;43.23
1506;2;-5.06;43.23
1507;11;-4.71;43.22
1508;4;-3.21;43.23
1509;5;-1.52;43.23
1511;4;-5.33;43.23
1512;7;-5.24;43.22
1514;12;-4.63;43.22
1515;10;-4.61;43.22
1517;9;-3.55;43.23
1518;4;-3.16;43.23
1519;4;-2.91;43.22
1520;2;-2.86;43.22
1521;5;-1.87;43.22
1522;4;-7.81;43.22
1523;9;-7.67;43.22
1525;5;-6.84;43.22
1526;4;-6.62;43.22
1527;3;-6.41;43.22
1528;7;-6.40;43.22
1529;7;-6.31;43.22
1530;4;-6.29;43.22
1531;8;-6.08;43.22
1532;6;-6.03;43.22
1533;6;-6.00;43.22
1534;4;-5.50;43.22
1535;2;-5.46;43.22
1536;3;-5.40;43.22
1537;3;-5.35;43.22
1539;7;-5.31;43.22
1540;7;-5.29;43.22
1541;3;-5.20;43.22
1542;5;-5.09;43.22
1543;4;-5.06;43.22
1544;11;-4.88;43.22
1545;7;-4.79;43.22
1546;12;-4.66;43.22
1549;4;-4.16;43.22
1550;5;-3.81;43.22
1551;5;-3.78;43.22
1552;6;-3.64;43.22
1553;4;-3.62;43.22
1554;10;-3.60;43.22
1555;8;-3.58;43.22
1556;8;-3.55;43.22
1557;10;-3.49;43.22
1558;4;-3.48;43.22
1560;4;-3.26;43.22
1561;4;-3.00;43.22
1562;2;-2.82;43.22
1563;4;-2.80;43.22
1564;4;-2.58;43.22
1565;4;-2.44;43.22
1566;9;-2.14;43.22
1567;9;-2.10;43.22
1568;10;-2.03;43.22
